,Title,Start,End,Certificate,Runtime,Genre,Rating,Votes,Gross,Metascore,Director,Stars
0,Friends,1994,2004,13+,22 min,"Comedy,Romance",8.9,"1,003,700",,,,"Stars:Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc"
1,The Big Bang Theory,2007,2019,U,22 min,"Comedy,Romance",8.2,"814,328",,,,"Stars:Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg"
2,Le fabuleux destin d'Amélie Poulain,2001,2001,U,122 min,"Comedy,Romance",8.3,"760,481",$33.23M,69,Director:Jean-Pierre Jeunet,"Stars:Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta"
3,Silver Linings Playbook,2012,2012,A,122 min,"Comedy,Drama,Romance",7.7,"713,756",$132.09M,81,Director:David O. Russell,"Stars:Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver"
4,La vita è bella,1997,1997,U,116 min,"Comedy,Drama,Romance",8.6,"698,695",$57.60M,59,Director:Roberto Benigni,"Stars:Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
5,How I Met Your Mother,2005,2014,15+,22 min,"Comedy,Romance",8.3,"688,533",,,,"Stars:Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris"
6,Shrek,2001,2001,U,90 min,"Animation,Adventure,Comedy",7.9,"683,867",$267.67M,84,"Directors:Andrew Adamson, Vicky Jenson","Stars:Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow"
7,Groundhog Day,1993,1993,U,101 min,"Comedy,Drama,Fantasy",8.1,"636,497",$70.91M,72,Director:Harold Ramis,"Stars:Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky"
8,La La Land,2016,2016,A,128 min,"Comedy,Drama,Music",8.0,"595,214",$151.10M,94,Director:Damien Chazelle,"Stars:Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons"
9,"Crazy, Stupid, Love.",2011,2011,A,118 min,"Comedy,Drama,Romance",7.4,"525,659",$84.35M,68,"Directors:Glenn Ficarra, John Requa","Stars:Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone"
10,(500) Days of Summer,2009,2009,UA,95 min,"Comedy,Drama,Romance",7.7,"521,172",$32.39M,76,Director:Marc Webb,"Stars:Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz"
11,Love Actually,2003,2003,A,135 min,"Comedy,Drama,Romance",7.6,"499,411",$59.70M,55,Director:Richard Curtis,"Stars:Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney"
12,Shrek 2,2004,2004,U,93 min,"Animation,Adventure,Comedy",7.3,"469,465",$436.47M,75,"Directors:Andrew Adamson, Kelly Asbury, Conrad Vernon","Stars:Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews"
13,The Terminal,2004,2004,U,128 min,"Comedy,Drama,Romance",7.4,"464,516",$77.87M,55,Director:Steven Spielberg,"Stars:Tom Hanks, Catherine Zeta-Jones, Chi McBride, Stanley Tucci"
